cluster_ID,original_cluster_ID,files
ACDC_01,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.conf.ss,conf/ConfigurationUpdateAssembler.java; conf/FSSchedulerConfigurationStore.java; conf/FileBasedCSConfigurationProvider.java; conf/InMemoryConfigurationStore.java; conf/LeveldbConfigurationStore.java; conf/MutableCSConfigurationProvider.java; conf/QueueAdminConfigurationMutationACLPolicy.java; conf/QueueCapacityConfigParser.java; conf/YarnConfStoreVersionIncompatibleException.java; conf/YarnConfigurationStore.java; conf/YarnConfigurationStoreFactory.java; conf/ZKConfigurationStore.java
ACDC_02,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.placement.ss,placement/GeneratePojos.java; placement/MappingRuleCreator.java
ACDC_03,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.policy.ss,policy/PriorityUtilizationQueueOrderingPolicy.java; policy/QueueOrderingPolicy.java
ACDC_04,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.queuemanagement.ss,AbstractAutoCreatedLeafQueue.java; AutoCreatedLeafQueue.java; AutoCreatedLeafQueueConfig.java; AutoCreatedQueueManagementPolicy.java; CSQueueUtils.java; ConfiguredNodeLabels.java; ManagedParentQueue.java; QueueManagementChange.java; QueuePrefixes.java; queuemanagement/DeactivatedLeafQueuesByLabel.java; queuemanagement/GuaranteedOrZeroCapacityOverTimePolicy.java; queuemanagement/LeafQueueEntitlements.java
ACDC_05,org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.ss,AbsoluteResourceCapacityCalculator.java; AbstractCSQueue.java; AbstractLeafQueue.java; AbstractManagedParentQueue.java; AbstractParentQueue.java; AbstractQueueCapacityCalculator.java; AppPriorityACLConfigurationParser.java; AppPriorityACLGroup.java; AutoCreatedQueueTemplate.java; CSMaxRunningAppsEnforcer.java; CSQueue.java; CSQueueInfoProvider.java; CSQueueMetrics.java; CSQueuePreemptionSettings.java; CSQueueStore.java; CSQueueUsageTracker.java; CalculationContext.java; CapacityHeadroomProvider.java; CapacityScheduler.java; CapacitySchedulerConfigValidator.java; CapacitySchedulerConfiguration.java; CapacitySchedulerContext.java; CapacitySchedulerMetrics.java; CapacitySchedulerQueueCapacityHandler.java; CapacitySchedulerQueueContext.java; CapacitySchedulerQueueManager.java; ConfigurationProperties.java; DefaultQueueResourceRoundingStrategy.java; LeafQueue.java; ParentQueue.java; PercentageQueueCapacityCalculator.java; PlanQueue.java; QueueAllocationSettings.java; QueueAppLifetimeAndLimitSettings.java; QueueCapacities.java; QueueCapacityUpdateContext.java; QueueCapacityVector.java; QueueManagementDynamicEditPolicy.java; QueueNodeLabelsSettings.java; QueuePath.java; QueueResourceRoundingStrategy.java; QueueStateHelper.java; QueueUpdateWarning.java; ReservationQueue.java; ResourceCalculationDriver.java; ResourceVector.java; RootCalculationDriver.java; RootQueueCapacityCalculator.java; UserInfo.java; UserWeights.java; UsersManager.java; WeightQueueCapacityCalculator.java; WorkflowPriorityMappingsManager.java; conf/CSConfigurationProvider.java; conf/package-info.java; placement/converter/LegacyMappingRuleToJson.java; preemption/KillableContainer.java; preemption/PreemptableQueue.java; preemption/PreemptionManager.java
ACDC_06,org.apache.hadoop.yarn.server.resourcemanager.scheduler.common.fica.ss,CSAMContainerLaunchDiagnosticsConstants.java; CSAssignment.java; SchedulingMode.java; allocator/AbstractContainerAllocator.java; allocator/AllocationState.java; allocator/ContainerAllocation.java; allocator/ContainerAllocator.java; allocator/RegularContainerAllocator.java
ACDC_07,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.converter.ss,AutoCreatedQueueDeletionPolicy.java; QueueConfigurationAutoRefreshPolicy.java
